문항번호,문제,해설,답,이미지여부,동영상여부
175,도로교통법상 보행자 보호에 대한 설명 중 맞는 2가지는?<br>① 자전거를 끌고 걸어가는 사람은 보행자에 해당하지 않는다.<br>② 교통정리를 하고 있지 아니하는 교차로에 먼저 진입한 차량은 보행자에<br>우선하여 통행할 권한이 있다.<br>③ 시･도경찰청장은 보행자의 통행을 보호하기 위해 도로에 보행자 전용<br>도로를 설치할 수 있다.<br>④ 보행자 전용 도로에는 유모차를 끌고 갈 수 있다.,"자전거를 끌고 걸어가는 사람도 보행자에 해당하고, 교통정리를 하고 있지 아니하는 교차로<br>에 먼저 진입한 차량도 보행자에게 양보해야 한다.","③, ④",,
176,보행자의 통행에 대한 설명 중 맞는 것 2가지는?<br>① 보행자는 예외적으로 차도를 통행하는 경우 차도의 좌측으로 통행해야<br>한다.<br>② 보행자는 사회적으로 중요한 행사에 따라 행진 시에는 도로의 중앙으로<br>통행할 수 있다.<br>③ 도로횡단시설을 이용할 수 없는 지체장애인은 도로횡단시설을 이용하지<br>않고 도로를 횡단할 수 있다.<br>④ 도로횡단시설이 없는 경우 보행자는 안전을 위해 가장 긴 거리로 도로를<br>횡단하여야 한다.,차도의 우측으로 통행하여야 한다. 도로횡단시설이 없는 경우 보행자는 안전을 위해 가장 짧<br>은 거리로 도로를 횡단하여야 한다.,"②, ③",,
177,승용자동차의 운전자가 보도를 횡단하는 방법을 위반한 경우 범칙금은?<br>① 3만원 ② 4만원 ③ 5만원 ④ 6만원,"통행구분 위반(보도침범, 보도횡단방법 위반) <도로교통법시행령 별표 8>범칙금 6만원",④,,
178,다음 중 보행자 보호와 관련된 승용자동차 운전자의 범칙행위에 대한 범칙금액이<br>다른 것은?<br>① 신호에 따라 도로를 횡단하는 보행자 횡단 방해<br>② 보행자 전용도로 통행위반<br>③ 도로를 통행하고 있는 차에서 밖으로 물건을 던지는 행위<br>④ 어린이･앞을 보지 못하는 사람 등의 보호 위반,"도로교통법 시행규칙 별표8 범칙행위 및 범칙금액(운전자) ①, ②, ④는 6만 원이고, ③은<br>5만 원의 범칙금액 부과",③,,
179,보행자에 대한 운전자의 바람직한 태도는?<br>① 도로를 무단 횡단하는 보행자는 보호받을 수 없다.<br>② 자동차 옆을 지나는 보행자에게 신경 쓰지 않아도 된다.<br>③ 보행자가 자동차를 피해야 한다.<br>④ 운전자는 보행자를 우선으로 보호해야 한다.,도로교통법 제27조(보행자의 보호) ⑤ 모든 차의 운전자는 보행자가 제10조제3항에 따라 횡<br>단보도가 설치되어 있지 아니한 도로를 횡단하고 있을 때에는 안전거리를 두고 일시 정지하<br>여 보행자가 안전하게 횡단할 수 있도록 하여야 한다.,④,,
180,다음 중 보행자가 도로를 횡단할 수 있게 안전표지로 표시한 도로의 부분을<br>무엇이라 하는가?<br>① 보도 ② 길가장자리구역<br>③ 횡단보도 ④ 보행자 전용도로,"도로교통법 제2조 제12호 “횡단보도”란, 보행자가 도로를 횡단할 수 있도록 안전표지로 표<br>시한 도로의 부분을 말한다.",③,,
181,다음 중 보행자에 대한 운전자 조치로 잘못된 것은?<br>① 어린이보호 표지가 있는 곳에서는 어린이가 뛰어 나오는 일이 있으므로<br>주의해야 한다.<br>② 보도를 횡단하기 직전에 서행하여 보행자를 보호해야 한다.<br>③ 무단 횡단하는 보행자도 일단 보호해야 한다.<br>④ 어린이가 보호자 없이 도로를 횡단 중일 때에는 일시 정지해야 한다.,도로교통법 제13조 제1항 내지 제2항 보도를 횡단하기 직전에 일시 정지하여 좌측 및 우측<br>부분 등을 살핀 후 보행자의 통행을 방해하지 아니하도록 횡단하여야 한다.,②,,
182,보행자의 도로 횡단방법에 대한 설명으로 잘못된 것은?<br>① 보행자는 횡단보도가 없는 도로에서 가장 짧은 거리로 횡단해야 한다.<br>② 보행자는 모든 차의 바로 앞이나 뒤로 횡단하면 안 된다.<br>③ 무단횡단 방지를 위한 차선분리대가 설치된 곳이라도 넘어서 횡단할 수<br>있다.<br>④ 도로공사 등으로 보도의 통행이 금지된 때 차도로 통행할 수 있다.,"도로교통법 제8조(보행자의 통행) ① 보행자는 보도와 차도가 구분된 도로에서는 언제나 보<br>도로 통행하여야 한다. 다만, 차도를 횡단하는 경우, 도로공사 등으로 보도의 통행이 금지된<br>경우나 그 밖의 부득이한 경우에는 그러하지 아니하다.<br>도로교통법 제10조(도로의 횡단) ② 보행자는 제1항에 따른 횡단보도, 지하도, 육교나 그 밖<br>의 도로 횡단시설이 설치되어 있는 도로에서는 그 곳으로 횡단하여야 한다. 다만, 지하도나<br>육교 등의 도로 횡단시설을 이용할 수 없는 지체장애인의 경우에는 다른 교통에 방해가 되지<br>아니하는 방법으로 도로 횡단시설을 이용하지 아니하고 도로를 횡단할 수 있다. ③ 보행자는<br>제1항에 따른 횡단보도가 설치되어 있지 아니한 도로에서는 가장 짧은 거리로 횡단하여야<br>한다. ④ 보행자는 모든 차의 바로 앞이나 뒤로 횡단하여서는 아니 된다. 다만, 횡단보도를<br>횡단하거나 신호기 또는 경찰공무원등의 신호나 지시에 따라 도로를 횡단하는 경우에는 그러<br>하지 아니하다.",③,,
183,앞을 보지 못하는 사람에 준하는 범위에 해당하지 않는 사람은?<br>① 어린이 또는 영·유아<br>② 의족 등을 사용하지 아니하고는 보행을 할 수 없는 사람<br>③ 신체의 평형기능에 장애가 있는 사람<br>④ 듣지 못하는 사람,도로교통법 제8조 법 제11조제2항에 따른 앞을 보지 못하는 사람에 준하는 사람은 다음 각<br>호의 어느 하나에 해당하는 사람을 말한다. 1. 듣지 못하는 사람 2. 신체의 평형기능에 장애<br>가 있는 사람 3. 의족 등을 사용하지 아니하고는 보행을 할 수 없는 사람,①,,
184,"어린이 보호구역 안에서 ( )~( ) 사이에 신호위반을 한 승용차 운전자에 대해<br>기존의 벌점을 2배로 부과한다. ( )에 순서대로 맞는 것은?<br>① 오전 6시, 오후 6시 ② 오전 7시, 오후 7시<br>③ 오전 8시, 오후 8시 ④ 오전 9시, 오후 9시",도로교통법 시행규칙 별표 28 주4호 어린이 보호구역 안에서 오전 8시부터 오후 8시 사이<br>에 위반행위를 한 운전자에 대하여 기존의 벌점의 2배에 해당하는 벌점을 부과한다.,③,,
185,4.5톤 화물자동차가 오전 10시부터 11시까지 노인보호구역에서 주차위반을 한<br>경우 과태료는?<br>① 4만원 ② 5만원 ③ 9만원 ④ 10만원,"도로교통법 시행령 별표7 제3호 법 제32조부터 제34조까지의 규정을 위반하여 정차 또는<br>주차를 한 차의 고용주 등은, 승합자동차 등은 2시간 이내일 경우 과태료 9만원이다.",③,,
186,다음 중 보행자의 통행방법으로 잘못된 것은?<br>① 보도에서는 좌측통행을 원칙으로 한다.<br>② 도로의 통행방향이 일방통행인 경우에는 차마를 마주보지 않고 통행할 수<br>있다.<br>③ 보도와 차도가 구분된 도로에서는 언제나 보도로 통행하여야 한다.<br>④ 보도와 차도가 구분되지 않은 도로에서는 차마와 마주보는 방향의<br>길가장자리구역으로 통행하여야 한다.,<도로교통법 제8조> 보행자는 보도에서 우측통행을 원칙으로 한다.,①,,
187,다음 중 차도를 통행할 수 있는 사람 또는 행렬이 아닌 경우는?<br>① 도로에서 청소나 보수 등의 작업을 하고 있을 때<br>② 말·소 등의 큰 동물을 몰고 갈 때<br>③ 유모차를 끌고 가는 사람<br>④ 장의(葬儀) 행렬일 때,"<도로교통법 시행령 제7조(차도를 통행할 수 있는 사람 또는 행렬)> 법 제9조제1항 전단에<br>서 “대통령령으로 정하는 사람이나 행렬”이란 다음 각 호의 어느 하나에 해당하는 사람이나<br>행렬을 말한다.<br>1. 말·소 등의 큰 동물을 몰고 가는 사람 2. 사다리, 목재, 그 밖에 보행자의 통행에 지장<br>을 줄 우려가 있는 물건을 운반 중인 사람 3. 도로에서 청소나 보수 등의 작업을 하고 있<br>는 사람 4. 군부대나 그 밖에 이에 준하는 단체의 행렬 5. 기(旗) 또는 현수막 등을 휴대<br>한 행렬 6. 장의(葬儀) 행렬",③,,
188,운전자가 진행방향 신호등이 적색일 때 정지선을 초과하여 정지한 경우 처벌<br>기준은?<br>① 교차로 통행방법위반 ② 일시정지 위반<br>③ 신호위반 ④ 서행위반,신호등이 적색일 때 정지선을 초과하여 정지한 경우 신호위반의 처벌을 받는다.,③,,
189,다음 중 앞을 보지 못하는 사람이 장애인보조견을 동반하고 도로를 횡단하는 모습을<br>발견하였을 때의 올바른 운전 방법은?<br>① 주･정차 금지 장소인 경우 그대로 진행한다.<br>② 일시 정지한다.<br>③ 즉시 정차하여 앞을 보지 못하는 사람이 되돌아가도록 안내한다.<br>④ 경음기를 울리며 보호한다.,<도로교통법 제49조(모든 운전자의 준수사항 등)> ① 모든 차의 운전자는 다음 각 호의 사항<br>을 지켜야 한다.2. 다음 각 목의 어느 하나에 해당하는 경우에는 일시 정지할 것 나. 앞을<br>보지 못하는 사람이 흰색 지팡이를 가지거나 장애인보조견을 동반하는 등의 조치를 하고 도<br>로를 횡단하고 있는 경우,②,,
190,신호기가 없는 횡단보도에 보행자가 횡단하고 있을 때 차량 통행 방법으로 가장<br>옳은 것은?<br>① 경음기를 울리며 서행한다.<br>② 일시 정지한다.<br>③ 전조등을 점멸하여 보행자에게 주의를 주며 그냥 지나간다.<br>④ 경음기를 울리고 전조등을 점멸하면서 서행한다.,<도로교통법 제27조(보행자의 보호)> ⑤ 모든 차의 운전자는 보행자가 제10조제3항에 따라<br>횡단보도가 설치되어 있지 아니한 도로를 횡단하고 있을 때에는 안전거리를 두고 일시 정지<br>하여 보행자가 안전하게 횡단할 수 있도록 하여야 한다.,②,,
191,무단 횡단하는 보행자 보호에 관한 설명이다. 맞는 것은?<br>① 교차로 이외의 도로에서는 보행자 보호 의무가 없다.<br>② 신호를 위반하는 무단횡단 보행자는 보호할 의무가 없다.<br>③ 무단횡단 보행자도 보호하여야 한다.<br>④ 일방통행 도로에서는 무단횡단 보행자를 보호할 의무가 없다.,<도로교통법 제27조(보행자의 보호)> ⑤ 모든 차의 운전자는 보행자가 제10조제3항에 따라<br>횡단보도가 설치되어 있지 아니한 도로를 횡단하고 있을 때에는 안전거리를 두고 일시 정지<br>하여 보행자가 안전하게 횡단할 수 있도록 하여야 한다.,③,,
192,다음 보행자 중 차도의 통행이 허용되지 않는 사람은?<br>① 보행보조용 의자차를 타고 가는 사람<br>② 사회적으로 중요한 행사에 따라 시가를 행진하는 사람<br>③ 도로에서 청소나 보수 등의 작업을 하고 있는 사람<br>④ 사다리 등 보행자의 통행에 지장을 줄 우려가 있는 물건을 운반 중인 사람,"<도로교통법 시행령 제7조(차도를 통행할 수 있는 사람 또는 행렬)> 법 제9조제1항 전단에<br>서 “대통령령으로 정하는 사람이나 행렬”이란 다음 각 호의 어느 하나에 해당하는 사람이나<br>행렬을 말한다.<br>1. 말·소 등의 큰 동물을 몰고 가는 사람 2. 사다리, 목재, 그 밖에 보행자의 통행에 지장<br>을 줄 우려가 있는 물건을 운반 중인 사람 3. 도로에서 청소나 보수 등의 작업을 하고 있<br>는 사람 4. 군부대나 그 밖에 이에 준하는 단체의 행렬 5. 기(旗) 또는 현수막 등을 휴대<br>한 행렬 6. 장의(葬儀) 행렬",①,,
193,다음 중 보행등의 녹색등화가 점멸할 때 보행자의 가장 올바른 통행방법은?<br>① 횡단보도에 진입하지 않은 보행자는 다음 신호 때까지 기다렸다가<br>보행등의 녹색등화 때 통행하여야 한다.<br>② 횡단보도 중간에 그냥 서 있는다.<br>③ 다음 신호를 기다리지 않고 횡단보도를 건넌다.<br>④ 적색등화로 바뀌기 전에는 언제나 횡단을 시작할 수 있다.,"<도로교통법 시행규칙 별표2 신호기가 표시하는 신호의 종류 및 신호의 뜻> 녹색등화의 점<br>멸：보행자는 횡단을 시작하여서는 아니 되고, 횡단하고 있는 보행자는 신속하게 횡단을 완<br>료하거나 그 횡단을 중지하고 보도로 되돌아와야 한다.",①,,
194,다음 중 도로교통법상 보도를 통행하는 보행자에 대한 설명으로 맞는 것은?<br>① 이륜차를 타고 보도를 통행하는 사람은 보행자로 볼 수 있다.<br>② 자전거를 타고 가는 사람은 보행자로 볼 수 있다.<br>③ 보행보조용 의자차를 타고 가는 사람은 보행자로 볼 수 있다.<br>④ 원동기장치자전거를 타고 가는 사람은 보행자로 볼 수 있다.,"도로교통법 제2조 제10호 “보도”(步道)란 연석선, 안전표지나 그와 비슷한 인공구조물로 경<br>계를 표시하여 보행자(유모차와 행정안전부령으로 정하는 보행보조용 의자차를 포함한다. 이<br>하 같다)가 통행할 수 있도록 한 도로의 부분을 말한다.",③,,
195,다음 중 도로교통법상 보행자전용도로에 대한 설명으로 맞는 2가지는?<br>① 통행이 허용된 차마의 운전자는 통행 속도를 보행자의 걸음 속도로<br>운행하여야 한다.<br>② 차마의 운전자는 원칙적으로 보행자전용도로를 통행할 수 있다.<br>③ 경찰서장이 특히 필요하다고 인정하는 경우는 차마의 통행을 허용할 수<br>없다.<br>④ 통행이 허용된 차마의 운전자는 보행자를 위험하게 할 때는 일시정지하여야<br>한다.,"도로교통법 제28조(보행자전용도로의 설치) ① 시･도경찰청장이나 경찰서장은 보행자의 통<br>행을 보호하기 위하여 특히 필요한 경우에는 도로에 보행자전용도로를 설치할 수 있다.<br>② 차마의 운전자는 제1항에 따른 보행자전용도로를 통행하여서는 아니 된다. 다만, 시･도경<br>찰청장이나 경찰서장은 특히 필요하다고 인정하는 경우에는 보행자전용도로에 차마의 통행<br>을 허용할 수 있다.<br>③ 제2항 단서에 따라 보행자전용도로의 통행이 허용된 차마의 운전자는 보행자를 위험하게<br>하거나 보행자의 통행을 방해하지 아니하도록 차마를 보행자의 걸음 속도로 운행하거나 일시<br>정지하여야 한다.","①, ④",,
196,노인보호구역에서 자동차에 싣고 가던 화물이 떨어져 노인을 다치게 하여 2주<br>진단의 상해를 발생시킨 경우 교통사고처리 특례법상 처벌로 맞는 2가지는?<br>① 피해자의 처벌의사에 관계없이 형사처벌 된다.<br>② 피해자와 합의하면 처벌되지 않는다.<br>③ 손해를 전액 보상받을 수 있는 보험에 가입되어 있으면 처벌되지 않는다.<br>④ 손해를 전액 보상받을 수 있는 보험가입 여부와 관계없이 형사처벌 된다.,교통사고처리 특례법 제3조(처벌의 특례) 제2항 제12호 도로교통법 제39조 제4항을 위반하<br>여 자동차의 화물이 떨어지지 아니하도록 필요한 조치를 하지 아니하고 운전한 경우에 해당<br>되어 종합보험에 가입되어도 형사처벌을 받게 된다.,"①, ④",,
197,다음 중 도로교통법상 횡단보도가 없는 도로에서 보행자의 가장 올바른 횡단방법은?<br>① 통과차량 바로 뒤로 횡단한다.<br>② 차량통행이 없을 때 빠르게 횡단한다.<br>③ 횡단보도가 없는 곳이므로 아무 곳이나 횡단한다.<br>④ 도로에서 가장 짧은 거리로 횡단한다.,"<도로교통법 제10조 제3항>, 보행자는 제1항에 따른 횡단보도가 설치되어 있지 아니한 도로<br>에서는 가장 짧은 거리로 횡단하여야 한다.",④,,
198,다음 중 도로교통법상 횡단보도를 횡단하는 방법에 대한 설명으로 옳지 않은 것은?<br>① 개인형 이동장치를 끌고 횡단할 수 있다.<br>② 보행보조용 의자차를 타고 횡단할 수 있다.<br>③ 자전거를 타고 횡단할 수 있다.<br>④ 유모차를 끌고 횡단할 수 있다.,도로교통법 제2조제12호 횡단보도란 보행자가 도로를 횡단할 수 있도록 안전표지로 표시한<br>도로의 부분을 말한다. 도로교통법 제27조제1항 모든 차의 운전자는 보행자(제13조의2제6<br>항에 따라 자전거에서 내려서 자전거를 끌고 통행하는 자전거 운전자를 포함한다)가 횡단보<br>도를 통행하고 있을 때에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보<br>도 앞(정지선이 설치되어 있는 곳에서는 그 정지선을 말한다)에서 일시정지하여야 한다.,③,,
199,다음 중 도로교통법상 차마의 통행방법에 대한 설명이다. 잘못된 것은?<br>① 보도와 차도가 구분된 도로에서는 차도로 통행하여야 한다.<br>② 보도를 횡단하기 직전에 서행하여 좌·우를 살핀 후 보행자의 통행을<br>방해하지 않도록 횡단하여야 한다.<br>③ 도로의 중앙의 우측 부분으로 통행하여야 한다.<br>④ 도로가 일방통행인 경우 도로의 중앙이나 좌측 부분을 통행하여야 한다.,<도로교통법 제13조 제2항> 제1항 단서의 경우 차마의 운전자는 보도를 횡단하기 직전에<br>일시정지하여 좌측과 우측 부분 등을 살핀 후 보행자의 통행을 방해하지 아니하도록 횡단하<br>여야 한다.,②,,
200,다음 중 도로교통법상 보행자의 보호에 대한 설명이다. 옳지 않은 것은?<br>① 횡단보도가 있을 때 그 직전에 일시정지하여야 한다.<br>② 경찰공무원의 신호나 지시에 따라 도로를 횡단하는 보행자의 통행을<br>방해하여서는 아니 된다.<br>③ 교차로에서 도로를 횡단하는 보행자의 통행을 방해하여서는 아니 된다.<br>④ 보행자가 도로를 횡단하고 있을 때에는 안전거리를 두고 서행하여야 한다.,"<도로교통법 제27조, 보행자 보호> ① 모든 차의 운전자는 보행자( 제13조의2제6항에 따라<br>자전거에서 내려서 자전거를 끌고 통행하는 자전거 운전자를 포함한다)가 횡단보도를 통행하<br>고 있을 때에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보도 앞(정지선<br>이 설치되어 있는 곳에서는 그 정지선을 말한다)에서 일시정지하여야 한다.<br>② 모든 차의 운전자는 교통정리를 하고 있는 교차로에서 좌회전이나 우회전을 하려는 경우<br>에는 신호기 또는 경찰공무원등의 신호나 지시에 따라 도로를 횡단하는 보행자의 통행을<br>방해하여서는 아니 된다.<br>③ 모든 차의 운전자는 교통정리를 하고 있지 아니하는 교차로 또는 그 부근의 도로를 횡단<br>하는 보행자의 통행을 방해하여서는 아니 된다.<br>④ 모든 차의 운전자는 도로에 설치된 안전지대에 보행자가 있는 경우와 차로가 설치되지<br>아니한 좁은 도로에서 보행자의 옆을 지나는 경우에는 안전한 거리를 두고 서행하여야 한다.<br>⑤ 모든 차의 운전자는 보행자가 제10조제3항에 따라 횡단보도가 설치되어 있지 아니한 도<br>로를 횡단하고 있을 때에는 안전거리를 두고 일시정지하여 보행자가 안전하게 횡단할 수<br>있도록 하여야 한다.",④,,
201,차량 운전 중 차량 신호등과 횡단보도 보행자 신호등이 모두 고장 난 경우 횡단보도<br>통과 방법으로 옳은 것은?<br>① 횡단하는 사람이 있는 경우 서행으로 통과한다.<br>② 횡단보도에 사람이 없으면 서행하지 않고 빠르게 통과한다.<br>③ 신호등 고장으로 횡단보도 기능이 상실되었으므로 서행할 필요가 없다.<br>④ 횡단하는 사람이 있는 경우 횡단보도 직전에 일시정지한다.,<도로교통법시행령 제27조 제1항> 모든 차의 운전자는 보행자( 제13조의2제6항에 따라 자<br>전거에서 내려서 자전거를 끌고 통행하는 자전거 운전자를 포함한다)가 횡단보도를 통행하고<br>있을 때에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보도 앞(정지선이<br>설치되어 있는 곳에서는 그 정지선을 말한다)에서 일시정지하여야 한다.,④,,
202,도로교통법상 보도와 차도가 구분이 되지 않는 도로에서 보행자의 통행방법으로<br>가장 적절한 것은?<br>① 차도 중앙으로 보행한다.<br>② 차도 우측으로 보행한다.<br>③ 길가장자리구역으로 보행한다.<br>④ 차마와 마주보지 않는 방향으로 보행한다.,"<도로교통법 제8조 제2항> 보행자는 보도와 차도가 구분되지 아니한 도로에서는 차마와 마<br>주보는 방향의 길가장자리 또는 길가장자리구역으로 통행하여야 한다. 다만, 도로의 통행방<br>향이 일방통행인 경우에는 차마를 마주보지 아니하고 통행할 수 있다.",③,,
203,도로교통법상 보행자전용도로 통행이 허용된 차마의 운전자가 통행하는 방법으로<br>맞는 것은?<br>① 보행자가 있는 경우 서행으로 진행한다.<br>② 경음기를 울리면서 진행한다.<br>③ 보행자의 걸음 속도로 운행하거나 일시정지하여야 한다.<br>④ 보행자가 없는 경우 신속히 진행한다.,<도로교통법 제28조 제3항> 보행자전용도로의 통행이 허용된 차마의 운전자는 보행자를 위<br>험하게 하거나 보행자의 통행을 방해하지 아니하도록 차마를 보행자의 걸음 속도로 운행하거<br>나 일시정지하여야 한다.,③,,
204,"도로교통법상 연석선, 안전표지나 그와 비슷한 인공구조물로 경계를 표시하여<br>보행자가 통행할 수 있도록 한 도로의 부분은?<br>① 보도 ② 길가장자리구역<br>③ 횡단보도 ④ 자전거횡단도","<도로교통법 제2조 제10호> 보도란 연석선, 안전표지나 그와 비슷한 인공구조물로 경계를<br>표시하여 보행자(유모차와 행정안전부령으로 정하는 보행보조용 의자차를 포함한다. 이하 같<br>다)가 통행할 수 있도록 한 도로의 부분을 말한다.",①,,
205,도로교통법령상 보행신호등이 점멸할 때 올바른 횡단방법이 아닌 것은?<br>① 보행자는 횡단을 시작하여서는 안 된다.<br>② 횡단하고 있는 보행자는 신속하게 횡단을 완료하여야 한다.<br>③ 횡단을 중지하고 보도로 되돌아와야 한다.<br>④ 횡단을 중지하고 그 자리에서 다음 신호를 기다린다.,"<도로교통법시행규칙 제6조 제2항, 별표2> 신호기가 표시하는 신호의 종류 및 신호의 뜻 중<br>보행신호등",④,,
206,도로교통법상 차의 운전자가 다음과 같은 상황에서 서행하여야 할 경우는?<br>① 자전거를 끌고 횡단보도를 횡단하는 사람을 발견하였을 때<br>② 이면도로에서 보행자의 옆을 지나갈 때<br>③ 보행자가 횡단보도를 횡단하는 것을 봤을 때<br>④ 보행자가 횡단보도가 없는 도로를 횡단하는 것을 봤을 때,<도로교통법 제27조 제4항> 모든 차의 운전자는 도로에 설치된 안전지대에 보행자가 있는<br>경우와 차로가 설치되지 아니한 좁은 도로에서 보행자의 옆을 지나는 경우에는 안전한 거리<br>를 두고 서행하여야 한다.,②,,
207,도로교통법령상 고원식 횡단보도는 제한속도를 매시 ( )킬로미터 이하로 제한할<br>필요가 있는 도로에 설치한다. ( )안에 맞는 것은?<br>① 10 ② 20 ③ 30 ④ 50,고원식 횡단보도는 제한속도를 30km/h이하로 제한할 필요가 있는 도로에서 횡단보도를 노<br>면보다 높게 하여 운전자의 주의를 환기시킬 필요가 있는 지점에 설치한다.(도로교통법 시행<br>규칙 별표6 5. 533),③,,
208,도로교통법상 차량운전 중 주의하면서 진행해야 경우는?<br>① 어린이가 보호자 없이 도로를 횡단하는 것을 봤을 때<br>② 차량 신호등이 적색등화의 점멸 신호일 때<br>③ 어린이가 도로에서 노는 것을 봤을 때<br>④ 차량 신호등이 황색등화의 점멸 신호일 때,"<도로교통법시행규칙 제6조 제2항, 별표2> 신호기가 표시하는 신호의 종류 및 신호의 뜻 중<br>차량 신호등 황색등화의 점멸 신호일 때는 다른 교통 또는 안전표지의 표시에 주의하면서<br>진행할 수 있다.",④,,
209,다음 중 도로교통법령상 대각선 횡단보도의 보행 신호가 녹색등화일 때 차마의<br>통행방법으로 옳은 것은?<br>① 정지하여야 한다.<br>② 보행자의 횡단에 방해하지 않고 우회전할 수 있다.<br>③ 보행자가 없을 경우 서행으로 진행할 수 있다.<br>④ 보행자가 횡단하지 않는 방향으로는 진행할 수 있다.,"<도로교통법시행규칙 제6조 제2항, 별표2> 신호기가 표시하는 신호의 종류 및 신호의 뜻<br>적색의 등화",①,,
210,도로교통법상 차의 운전자가 그 차의 바퀴를 일시적으로 완전히 정지시키는 것은?<br>① 서행 ② 정차 ③ 주차 ④ 일시정지,<도로교통법 제2조 제30호> “일시정지”란 차의 운전자가 그 차의 바퀴를 일시적으로 완전<br>히 정지시키는 것을 말한다.,④,,
211,다음 중 도로교통법상 의료용 전동휠체어가 통행할 수 없는 곳은?<br>① 자전거전용도로 ② 길가장자리구역<br>③ 보도 ④ 도로의 가장자리,"<도로교통법 제8조 제1항> 보행자는 보도와 차도가 구분된 도로에서는 언제나 보도로 통행<br>하여야 한다. 다만, 차도를 횡단하는 경우, 도로공사 등으로 보도의 통행이 금지된 경우나<br>그 밖의 부득이한 경우에는 그러하지 아니하다.",①,,
212,"교통정리가 없는 교차로에서 좌회전하는 방법 중 가장 옳은 것은?<br>① 일반도로에서는 좌회전하려는 교차로 직전에서 방향지시등을 켜고 좌회전<br>한다.<br>② 미리 도로의 중앙선을 따라 서행하면서 교차로의 중심 바깥쪽으로 좌회전한다.<br>③ 시･도경찰청장이 지정하더라도 교차로의 중심 바깥쪽을 이용하여 좌회전할<br>수 없다.<br>④ 반드시 서행하여야 하고, 일시정지는 상황에 따라 운전자가 판단하여<br>실시한다.","일반도로에서 좌회전하려는 때에는 좌회전하려는 지점에서부터 30미터 이상의 지점에서 방<br>향지시등을 켜야 하고, 도로 중앙선을 따라 서행하며 교차로의 중심 안쪽으로 좌회전해야 하<br>며, 시･도경찰청장이 지정한 곳에서는 교차로의 중심 바깥쪽으로 좌회전할 수 있다. 그리고<br>좌회전할 때에는 항상 서행할 의무가 있으나 일시정지는 상황에 따라 할 수도 있고 안 할<br>수도 있다.",④,,
213,"도로교통법상 설치되는 차로의 너비는 ( )미터 이상으로 하여야 한다. 이 경우<br>좌회전전용 차로의 설치 등 부득이하다고 인정되는 때에는 ( )센티미터 이상으로<br>할 수 있다. ( )안에 기준으로 각각 맞는 것은?<br>① 5, 300 ② 4, 285 ③ 3, 275 ④ 2, 265","도로교통법 시행규칙 제15조(차로의 설치) 제2항, 차로의 너비는 3미터 이상으로 하여야 하<br>되, 좌회전전용차로의 설치 등 부득이하다고 인정되는 때에는 275센티미터 이상으로 할 수<br>있다.",③,,
214,"도로 우측 부분의 폭이 6미터가 되지 아니하는 도로에서 다른 차를 앞지르기할 수<br>있는 경우로 맞는 것은?<br>① 도로의 좌측 부분을 확인할 수 없는 경우<br>② 반대 방향의 교통을 방해할 우려가 있는 경우<br>③ 앞차가 저속으로 진행하고, 다른 차와 안전거리가 확보된 경우<br>④ 안전표지 등으로 앞지르기를 금지하거나 제한하고 있는 경우",도로교통법 제13조(차마의 통행) 제4항 제3호,③,,
215,도로교통법상 시간대에 따라 양방향의 통행량이 뚜렷하게 다른 도로에는 교통량이<br>많은 쪽으로 차로의 수가 확대될 수 있도록 신호기에 의하여 차로의 진행방향을<br>지시하는 차로는?<br>① 가변차로 ② 버스전용차로<br>③ 가속차로 ④ 앞지르기 차로,"도로교통법 제14조(차로의 설치 등) 제1항, 시･도경찰청장은 시간대에 따라 양방향의 통행<br>량이 뚜렷하게 다른 도로에는 교통량이 많은 쪽으로 차로의 수가 확대될 수 있도록 신호기에<br>의하여 차로의 진행방향을 지시하는 가변차로를 설치할 수 있다.",①,,
216,앞차를 앞지르기 할 때 위반에 해당하는 것은?<br>① 편도 2차로 오르막길에서 백색점선을 넘어 앞지르기하였다.<br>② 반대 방향의 안전을 살피고 황색실선의 중앙선을 넘어 앞지르기 하였다.<br>③ 비포장도로에서 앞차의 좌측으로 앞지르기 하였다.<br>④ 황색점선의 중앙선이 설치된 도로에서 안전을 살피고 앞지르기 하였다.,"백색 실선은 차로 변경 제한선이고 백색 점선의 차선은 안전을 살피고 차로 변경이 가능한<br>표시이며, 황색 실선의 중앙선은 넘어서는 안 되는 표시이고, 황색 점선의 중앙선은 안전을<br>살피고 앞지르기를 할 수 있는 구간이다.",②,,
